#EEP,M/Mo,LogTeff,LogG,LogL/Lo,U,B,V,R,I,J,H,Ks,Kp,D51
121,2.540878,3.9115,3.5265,1.9279,0.0083,-0.0207,-0.1671,-0.2505,-0.3128,-0.4187,-0.4271,-0.4469,-0.2232,-0.1462
122,2.541134,3.9125,3.5287,1.9288,0.0054,-0.0254,-0.1704,-0.252,-0.3126,-0.4168,-0.4238,-0.4436,-0.2253,-0.1498
123,2.541378,3.9135,3.5311,1.9298,0.0025,-0.0294,-0.1732,-0.2526,-0.312,-0.4149,-0.4213,-0.44,-0.227,-0.1531
124,2.541625,3.9139,3.5332,1.9309,0.0017,-0.0319,-0.1747,-0.2533,-0.3109,-0.4127,-0.4184,-0.4373,-0.2279,-0.155
125,2.541875,3.9151,3.5363,1.9325,-0.0037,-0.0391,-0.179,-0.2558,-0.3109,-0.4106,-0.414,-0.4332,-0.2312,-0.1606
126,2.542124,3.9162,3.5388,1.9338,-0.0057,-0.0433,-0.1818,-0.2566,-0.3103,-0.4087,-0.4105,-0.4296,-0.233,-0.1637
127,2.54236,3.9172,3.5421,1.9357,-0.0102,-0.05,-0.1861,-0.2588,-0.3101,-0.4064,-0.4068,-0.4252,-0.2362,-0.1693
128,2.542601,3.9186,3.5454,1.9373,-0.0144,-0.0567,-0.1903,-0.2608,-0.3093,-0.4038,-0.4025,-0.4209,-0.2393,-0.1748
129,2.542842,3.9192,3.5478,1.9379,-0.0157,-0.0595,-0.1925,-0.2612,-0.3082,-0.4019,-0.399,-0.4172,-0.2409,-0.1777
130,2.543084,3.9208,3.5519,1.9406,-0.0208,-0.0679,-0.1981,-0.2641,-0.3072,-0.3978,-0.3935,-0.4107,-0.244,-0.1847
131,2.543318,3.922,3.5548,1.9419,-0.0222,-0.0721,-0.2007,-0.2647,-0.3057,-0.3943,-0.3882,-0.4063,-0.2459,-0.1876
132,2.543545,3.9235,3.5596,1.9441,-0.0273,-0.0802,-0.2058,-0.2669,-0.3034,-0.3902,-0.3819,-0.3994,-0.249,-0.1941
133,2.543776,3.9249,3.5631,1.9459,-0.0296,-0.0853,-0.2094,-0.2672,-0.3015,-0.3863,-0.3757,-0.3931,-0.2516,-0.1988
134,2.544002,3.9264,3.5672,1.948,-0.0327,-0.092,-0.2131,-0.2685,-0.2988,-0.3813,-0.3688,-0.3863,-0.2532,-0.2036
135,2.544227,3.9281,3.5714,1.9498,-0.0355,-0.0979,-0.2164,-0.269,-0.2967,-0.3765,-0.3622,-0.3795,-0.2559,-0.2093
136,2.544441,3.9294,3.5749,1.9519,-0.0383,-0.1029,-0.2198,-0.2699,-0.2941,-0.372,-0.3559,-0.373,-0.2578,-0.2137
137,2.544651,3.9311,3.5788,1.9543,-0.0417,-0.1083,-0.2233,-0.2705,-0.2915,-0.3676,-0.3495,-0.3671,-0.2604,-0.2186
138,2.544858,3.9327,3.5831,1.9562,-0.0463,-0.1142,-0.2268,-0.2719,-0.2899,-0.3638,-0.3444,-0.3612,-0.2622,-0.2234
139,2.545043,3.9343,3.5873,1.9594,-0.0524,-0.1207,-0.2317,-0.2734,-0.2886,-0.3599,-0.3398,-0.3558,-0.2657,-0.2293
140,2.54523,3.9364,3.5925,1.9621,-0.0588,-0.1284,-0.236,-0.2745,-0.2857,-0.3547,-0.3323,-0.3487,-0.2684,-0.2352
141,2.5454,3.9388,3.5982,1.9652,-0.0661,-0.1369,-0.2408,-0.2753,-0.2829,-0.3492,-0.3253,-0.3411,-0.2716,-0.2417
142,2.545551,3.9408,3.6036,1.9685,-0.0746,-0.1476,-0.2458,-0.2758,-0.2783,-0.3414,-0.3155,-0.331,-0.2745,-0.2495
143,2.545683,3.9433,3.6087,1.9723,-0.084,-0.1607,-0.252,-0.2772,-0.2738,-0.3343,-0.3052,-0.3206,-0.2784,-0.2585
144,2.545801,3.9453,3.614,1.9756,-0.0941,-0.1738,-0.2588,-0.2781,-0.2695,-0.3263,-0.2954,-0.31,-0.2822,-0.268
145,2.545903,3.9476,3.6189,1.9795,-0.1058,-0.1878,-0.2656,-0.2787,-0.2642,-0.3173,-0.2847,-0.2987,-0.2858,-0.2775
146,2.545992,3.9498,3.6245,1.9836,-0.1177,-0.2009,-0.2718,-0.2799,-0.2606,-0.3104,-0.2751,-0.2888,-0.2897,-0.286
147,2.54607,3.9518,3.6291,1.9869,-0.1273,-0.2102,-0.276,-0.2801,-0.2577,-0.3046,-0.2681,-0.2813,-0.2923,-0.2921
148,2.54605,3.9528,3.6282,1.9913,-0.139,-0.2197,-0.2832,-0.2855,-0.2619,-0.3077,-0.2715,-0.2844,-0.2995,-0.3012
149,2.546062,3.9591,3.6288,2.0166,-0.2124,-0.294,-0.3413,-0.332,-0.2971,-0.3324,-0.2885,-0.3002,-0.3517,-0.3644
150,2.546147,3.972,3.6328,2.0638,-0.3545,-0.4407,-0.455,-0.4218,-0.3633,-0.3765,-0.3147,-0.3253,-0.4523,-0.4893
151,2.546443,3.982,3.6522,2.084,-0.4248,-0.514,-0.5023,-0.4512,-0.3751,-0.3704,-0.2937,-0.3034,-0.4899,-0.5453
152,2.546511,3.983,3.6583,2.0817,-0.4239,-0.5132,-0.5002,-0.4476,-0.3689,-0.3615,-0.2815,-0.291,-0.4868,-0.544
153,2.546548,3.9831,3.6645,2.0769,-0.4142,-0.5033,-0.4911,-0.4389,-0.3596,-0.3508,-0.2689,-0.2788,-0.4768,-0.5346
154,2.546569,3.9833,3.6693,2.0723,-0.405,-0.4945,-0.4828,-0.4311,-0.3512,-0.3416,-0.2574,-0.2678,-0.468,-0.526
155,2.546575,3.9838,3.6767,2.0685,-0.402,-0.4921,-0.4782,-0.4252,-0.3435,-0.3297,-0.2424,-0.2524,-0.4621,-0.5223
