#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
130,254.40[MML2017]6396,MoC166.281316-58.71,3890,,,,,,,,,,,,,,1,0
131,254.78Cl*NGC3532FERN136,*166.3086562184100,-58.66356863,2.0703,-2.21,-0.000007,-2.21,,,,,,12.360703,,,,6,0
132,255.13Cl*NGC3532FERN127,*166.3920066136100,-58.6369663,0.2548,27.66,0.000092,27.66,,,,,,13.234995,,,,1,0
133,255.432MASSJ11054417-5846374,*166.4340374773100,-58.77704507,0.4038,-15.98,-0.000053,-15.98,,,16.828,15.533,14.803,15.162164,14.124,,,1,0
134,256.19CPD-574258,*166.5348676516100,-58.67073891,2.0241,,,,,,9.915,9.831,9.817,9.850658,9.761,,,11,0
135,256.30Cl*NGC3532FERN96,*166.5503187294600,-58.69095165,0.2522,,,,,,,,,11.184543,,,,2,0
136,256.502MASSJ11054840-5846320,*166.4516798149900,-58.77556042,2.066,5.98,0.00002,5.98,,,16.281,15.225,14.622,14.905005,14.08,,,5,0
137,257.062MASSJ11050790-5841249,*166.2829170636600,-58.690231,0.7189,,,,,,,,,18.252108,,,,1,0
138,257.352MASSJ11055663-5838417,*166.4859080398800,-58.6449051,1.9956,,,,,,,,,19.369774,,,,1,0
139,258.552MASSJ11051577-5839273,*166.3157903096400,-58.65758955,0.1813,,,,,,,,,18.722351,,,,1,0
140,258.902MASSJ11050686-5842429,*166.2785680530300,-58.7119159,2.0797,,,,,,,,,15.222013,,,,5,0
141,259.10Cl*NGC3532FERN13,*166.47392-58.772,22,,,,,,,,,,,,,,1,0
142,259.61CPD-574256,*166.5291654814600,-58.66445762,2.0486,,,,,11.58,11.485,11.182,11.01,11.137909,10.809,,,10,0
143,260.372MASSJ11060222-5839097,*166.5092516156100,-58.65268069,0.2726,,,,,,,,,15.257828,,,,1,0
144,260.37Cl*NGC3532FERN85,*166.5234423594000,-58.75313133,2.0707,4.01,0.000013,4.01,,,,,,12.217844,,,,7,0
145,262.27Cl*NGC3532FERN35,*166.2766261600100,-58.70266236,2.0427,,,,,,13.78,13.36,,13.102275,,,,4,0
