#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
1065,825.23GaiaEDR35338710839358514688,*166.0114356988400,-58.6165093,2.0635,,,,,,,,,17.360361,,,,2,0
1066,825.79Cl*NGC3532AR146,*166.6220697502300,-58.50376551,2.073,5.19,0.000017,5.19,,,,,,11.940462,,,,6,0
1067,827.34Cl*NGC3532FERN329,*166.6868733546600,-58.88893141,0.3246,,,,,,,,,13.236809,,,,1,0
1068,827.612MASSJ11071176-5849229,*166.7990158163700,-58.82303038,2.0469,6.46,0.000022,6.46,,,17.62,16.286,15.495,15.748731,14.699,,,5,0
1069,828.75Cl*NGC3532AR126,*166.5287158705200,-58.48398549,2.0978,4.72,0.000016,4.72,,,,,,12.026831,,,,6,0
1070,829.502MASSJ11064048-5853475,*166.6687065394000,-58.89652706,3.0325,,,,,,,,,14.822742,,,,1,0
1071,829.532MASSJ11065327-5852270,*166.7219593320862,-58.87421099,0.6813,,,,,,,,,14.9632,,,,1,0
1072,830.98Cl*NGC3532FERN309,*166.3427612019000,-58.93430053,0.2539,9.66,0.000032,9.66,,,,,,12.459181,,,,1,0
1073,831.752MASSJ11062477-5829492,*166.6031651279900,-58.49704955,1.982,,,,,,,,,18.5772,,,,1,0
1074,832.002MASSJ11062020-5829335,*166.5842143138700,-58.49267645,2.0717,,,,,,,,,18.888437,,,,2,0
1075,832.122MASSJ11040263-5848084,*166.0110170337100,-58.80234211,2.1056,8.16,0.000027,8.16,,,19.066,17.574,16.619,16.75288,15.648,,,5,0
1076,832.412MASSJ11065144-5852442,*166.7143129529800,-58.8789506,0.9442,-2.05,-0.000007,-2.05,,,13.948,13.297,12.926,13.158029,12.574,,,1,0
1077,832.78Cl*NGC3532AR179,*166.7913725450800,-58.58218126,0.3187,,,,,,,,,13.715277,,,,1,0
1078,833.982MASSJ11072429-5839184,*166.8511691186800,-58.65512399,2.2705,-26.19,-0.000087,-26.19,,,18.252,16.888,15.958,16.159624,14.895,,,1,0
1079,834.222MASSJ11060185-5828474,*166.5077389044000,-58.47985209,2.0971,3.93,0.000013,3.93,,,,,,12.592331,,,,5,0
1080,834.652MASSJ11071142-5849411,*166.7975897619300,-58.82808313,0.4769,47.96,0.00016,47.96,,,15.925,14.789,14.183,14.475807,13.581,,,1,0
1081,835.262MASSJ11054586-5856180,*166.44110000-58.,93833900,,,,,,,,,,17.2703,15.56,,,1,0
1082,835.322MASSJ11040362-5836201,*166.0151435267100,-58.60559028,1.8129,50.03,0.000167,50.03,,,19.101,17.638,16.69,17.016628,15.608,,,1,0
1083,835.372MASSJ11044280-5854113,*166.1783686902000,-58.90316612,2.1986,,,,,,,,,18.635086,,,,1,0
1084,836.362MASSJ11035294-5841244,*165.9706373778800,-58.69010233,2.1179,,,,,,,,,15.903547,,,,6,0
1085,836.772MASSJ11044179-5830415,*166.1741377288400,-58.51155613,2.0804,,,,,,,,,13.591041,,,,5,0
1086,836.992MASSJ11040085-5837040,*166.0035826108200,-58.61778318,0.4569,,,,,,,,,12.284953,,,,1,0
1087,837.112MASSJ11072627-5844302,*166.8594460353400,-58.7417202,1.4513,19.38,0.000065,19.38,,,18.959,17.504,16.565,16.868063,15.654,,,1,0
1088,837.59[CLH2011b]144124,*166.6637033150300,-58.90098588,0.3195,1.33,0.000004,1.33,,,16.993,15.75,15.034,15.388536,14.338,,,1,0
1089,838.182MASSJ11040040-5837094,*166.0017002563600,-58.6192939,2.1184,6.58,0.000022,6.58,,,17.867,16.575,15.786,16.038967,14.975,,,5,0
1090,838.61CPD-574202,*166.1934989184300,-58.5048014,0.9628,7.51,0.000025,7.51,,,11.11,10.17,,9.733908,,,,2,0
1091,838.782MASSJ11051617-5856022,*166.3175017170100,-58.93393486,2.0043,,,,,,,,,18.672718,,,,2,0
1092,839.122MASSJ11072106-5837362,*166.8377228997500,-58.62673555,2.115,7.07,0.000024,7.07,,,19.805,18.281,17.275,17.425402,16.114,,,6,0
1093,839.742MASSJ11040352-5836117,*166.0147161646200,-58.60326223,1.7573,7.18,0.000024,7.18,,,14.67,13.89,13.475,13.748409,13.08,,,1,0
1094,841.38Cl*NGC3532FERN435,*166.4569808539800,-58.93944991,2.0193,9.43,0.000031,9.43,,,,,,11.227387,,,,7,0
1095,841.512MASSJ11054399-5856250,*166.4333170523000,-58.94026132,2.0334,5.08,0.000017,5.08,,,19.058,17.601,16.63,16.820515,15.65,,,6,0
1096,842.742MASSJ11072768-5841071,*166.8653314880900,-58.68529365,0.179,14.43,0.000048,14.43,,,16.723,15.442,14.739,15.008218,14.064,,,1,0
1097,842.872MASSJ11035986-5837067,*165.9995652157100,-58.61857023,1.8657,,,,,,,,,19.164129,,,,1,0
1098,843.182MASSJ11070802-5850363,*166.7834584929300,-58.84342509,0.1461,-16.49,-0.000055,-16.49,,,16.74,15.474,14.782,15.059275,14.099,,,1,0
1099,843.202MASSJ11055339-5856206,*166.4724955481900,-58.93909813,2.0922,4.93,0.000016,4.93,,,21.042,19.515,18.376,18.340773,16.976,,,2,0
1100,844.22Cl*NGC3532FERN299,*166.1819095311500,-58.90719076,0.5258,11.58,0.000039,11.58,,,,,,11.441487,,,,1,0
1101,844.642MASSJ11042673-5852479,*166.1114290456100,-58.87997615,2.1188,7.14,0.000024,7.14,,,18.415,16.992,16.11,16.382565,15.275,,,5,0
1102,845.312MASSJ11060522-5856061,*166.5217575244700,-58.93508373,2.2342,,,,,,,,,12.288867,,,,5,0
1103,846.012MASSJ11040215-5836194,*166.0089910205600,-58.60539406,1.9873,,,,,,,,,13.045591,,,,1,0
1104,846.602MASSJ11055052-5828214,*166.4605296877100,-58.47261434,2.0631,5.81,0.000019,5.81,,,19.217,17.758,16.756,17.005371,15.742,,,5,0
1105,846.632MASSJ11072430-5846237,*166.8512970650800,-58.77329199,1.9053,,,,,,,,,18.533846,,,,1,0
1106,846.912MASSJ11045541-5855169,*166.2308889692900,-58.92135253,1.8082,,,,,,,,,18.923538,,,,1,0
1107,847.17CPD-574211,*166.2693124450300,-58.48422076,2.0971,,,,,,,,,10.547802,,,,6,0
1108,848.11GaiaEDR35340164118857443328,*166.6709971052600,-58.51185542,2.0242,,,,,,,,,17.204679,,,,1,0
1109,849.40Cl*NGC3532FERN298,*166.1684549179900,-58.90451006,2.5264,54.07,0.00018,54.07,,,,,,12.768638,,,,2,0
1110,849.53CPD-583130,*166.7129461695200,-58.88590407,0.7648,,,,,,10.958,10.975,10.967,10.959071,10.959,B7/8,,5,0
1111,849.54CPD-574176,*166.0117218310200,-58.60030705,2.0879,1.1,0.000004,1.1,,,11.3,10.9,10.87,10.81741,,,,7,0
1112,850.53[CLH2011b]205458,*166.3044249005000,-58.93566625,0.6478,-4.8,-0.000016,-4.8,,,15.25,14.397,13.909,14.176714,13.45,,,1,0
1113,851.562MASSJ11050181-5829064,*166.2575239725100,-58.4851334,2.1016,3.59,0.000012,3.59,,,13.948,13.322,12.92,13.153736,12.569,,,5,0
1114,851.702MASSJ11035398-5845547,*165.9749881365500,-58.7652186,2.0692,,,,,,,,,13.929827,,,,3,0
1115,852.142MASSJ11060747-5856089,*166.53117-58.935,83,,,,,,,,,,,,,,1,0
1116,853.76[CLH2011b]149226,*166.6357263134800,-58.91492879,0.1332,-6.65,-0.000022,-6.65,,,17.336,16,15.253,15.519218,14.521,,,1,0
1117,854.08Cl*NGC3532FERN324,*166.6185241495100,-58.91964336,0.4001,3.79,0.000013,3.79,,,,,,12.074187,,,,2,0
1118,854.40[CLH2011b]174412,*166.4958086708200,-58.9404379,0.0906,-13.69,-0.000046,-13.69,,,17.336,16.108,15.389,15.66001,14.687,,,1,0
1119,854.432MASSJ11045263-5829339,*166.2193107527500,-58.49275402,2.1094,3.48,0.000012,3.48,,,,,,12.388078,,,,5,0
1120,855.452MASSJ11035587-5837553,*165.9827888352500,-58.63204922,2.0683,3.49,0.000012,3.49,,,14.554,13.818,13.401,13.656399,13.016,,,5,0
1121,855.67VPHASJ110358.0-583709.2,WD*165.9917006593200,-58.61921427,1.3405,,,,,,20.435,20.56,20.776,20.605904,20.756,DA,,4,0
1122,856.092MASSJ11063100-5829462,*166.6291471250900,-58.49620036,2.09,,,,,,,,,13.612207,,,,5,0
1123,857.14HD96059,*165.9720244729300,-58.76530187,2.0839,4.8,0.000016,4.8,,7.92,8.01,8.031,8.046,8.045014,8.024,B9III,,34,0
1124,857.542MASSJ11071838-5848506,*166.8266302254800,-58.81407678,2.0046,8,0.000027,8,,,17.755,16.366,15.572,15.844064,14.772,,,1,0
1125,859.07Cl*NGC3532FERN301,*166.2209334766400,-58.9227061,1.0167,,,,,,,,,12.71606,,,,2,0
1126,859.26[CLH2011b]194851,*166.3708749374000,-58.94417022,0.2298,-10.59,-0.000035,-10.59,,,16.194,14.966,14.252,14.531082,13.58,,,1,0
1127,859.472MASSJ11042731-5853118,*166.1138329292800,-58.88662046,2.0814,,,,,,,,,14.319957,,,,5,0
1128,859.60[CLH2011b]137415,*166.7006027770800,-58.89476556,0.1544,22.41,0.000075,22.41,,,17.55,16.109,15.335,15.630207,14.61,,,1,0
1129,860.012MASSJ11063812-5854360,*166.6588472085700,-58.90998383,2.0642,3.94,0.000013,3.94,,,18.924,17.444,16.459,16.566519,15.302,,,3,0
1130,861.47NGC353264,*166.2324496555900,-58.92613205,2.1003,,,,,,11.33,11.06,,10.919867,,,,4,0
1131,861.70Cl*NGC3532FERN436,*166.4909579615700,-58.94291938,1.8782,10.62,0.000035,10.62,,,,,,11.334015,,,,4,0
1132,861.852MASSJ11041225-5851107,*166.0510711280500,-58.85296701,2.0955,4.3,0.000014,4.3,,,17.854,16.401,15.509,15.772965,14.653,,,5,0
1133,861.862MASSJ11053561-5856451,*166.3983809736500,-58.94588608,2.0666,,,,,,,,,15.586425,,,,5,0
1134,862.052MASSJ11071678-5849240,*166.8199077679000,-58.82335915,0.2341,,,,,,,,,15.379236,,,,1,0
1135,863.202MASSJ11061326-5828409,*166.5552155371800,-58.47801777,2.1799,3.86,0.000013,3.86,,,15.18,14.33,13.828,14.121601,13.393,,,6,0
1136,864.02CPD-583154,*166.8393000781800,-58.80437686,2.1015,,,,,,11.086,10.823,10.669,10.793592,10.511,A8IV,,11,0
1137,864.062MASSJ11034940-5841212,*165.9559180004000,-58.68922892,0.611,-25.33,-0.000084,-25.33,,,16.139,15.192,14.597,14.869688,14.002,,,1,0
1138,864.37VPHASJ110434.5-583047.4,WD*166.14375-58.513,17,,,,,,,20.141,20.321,20.512,,20.561,DC,,1,0
1139,864.62[CLH2011b]156211,*166.5989761715000,-58.92751079,0.1809,-1.01,-0.000003,-1.01,,,17.449,16.006,15.223,15.482441,14.445,,,1,0
1140,865.242MASSJ11071872-5849027,*166.8279803816600,-58.81742439,2.0761,,,,,,,,,13.65462,,,,6,0
1141,865.72GaiaEDR35338713343290757120,*166.1013447381300,-58.53097092,2.0867,,,,,,,,,19.811054,,,,1,0
1142,865.812MASSJ11042429-5831515,mul166.10124400-58.,53098700,,,,,,,,,,,,,,1,0
1143,866.71GaiaEDR35338713347622636800,*166.1003812709000,-58.53106394,2.2878,,,,,,,,,20.384851,,,,0,0
1144,867.34Cl*NGC3532AR124,*166.5194376527200,-58.94164666,0.3177,,,,,,,,,12.828504,,,,1,0
1145,868.772MASSJ11042543-5831393,*166.1059861127600,-58.52760527,2.0766,7.62,0.000025,7.62,,,15.674,14.725,14.187,14.483489,13.708,,,5,0
1146,868.97Cl*NGC3532AR110,*166.4397063531800,-58.46558441,2.0197,2.54,0.000008,2.54,,,,,,12.027975,,,,6,0
1147,869.052MASSJ11050351-5856056,*166.2646973425600,-58.93488869,,,,,,,,,,15.691585,,,,1,0
1148,869.39[DDW2012]NGC3532-WDCJ1106-,5856WD?166.5702720483300,-58.93469599,,,,,,,20.019,19.879,19.609,19.821724,19.373,,,1,0
1149,870.732MASSJ11034857-5841189,*165.9524360288400,-58.68858365,2.1045,6.79,0.000023,6.79,,,19.339,17.891,16.913,17.084257,15.85,,,5,0
1150,871.102MASSJ11035514-5847291,*165.9797829473400,-58.79140626,2.0554,5.89,0.00002,5.89,,,18.364,16.925,16.046,16.327477,15.227,,,6,0
1151,871.552MASSJ11035750-5848159,*165.9896557576700,-58.80441863,2.1169,4.59,0.000015,4.59,,,17.595,16.265,15.465,15.790251,14.781,,,5,0
1152,872.91Cl*NGC3532AR130,*166.5654442806800,-58.47692116,0.3801,,,,,,,,,12.998828,,,,1,0
1153,873.64GaiaEDR35338704860769467008,*165.9537264249900,-58.67474218,2.0971,,,,,,,,,16.275978,,,,4,0
1154,875.29HD96103B,*166.0322971093600,-58.84600583,2.2106,,,,,,,,,12.733325,,,,0,0
1155,875.35Cl*NGC3532FERN325,*166.6332713924700,-58.92240544,0.2649,1.62,0.000005,1.62,,,,,,12.502607,,,,1,0
1156,875.76HD96103,*166.0324843282800,-58.84637281,2.1221,,,,,,10.058,9.952,9.921,9.955453,9.866,A2/3V,,21,0
1157,876.20Cl*NGC3532FERN293,*166.06233-58.866,42,,,,,,,,,,,,,,2,0
1158,876.272MASSJ11041485-5851583,*166.0619267305300,-58.86620426,1.7248,-3.97,-0.000013,-3.97,,,12.885,12.404,12.12,12.307302,11.834,,,1,0
1159,876.382MASSJ11035147-5838362,*165.9644940763900,-58.64342464,2.1046,6.61,0.000022,6.61,,,13.663,13.073,12.713,12.943763,12.383,,,5,0
1160,876.39Cl*NGC3532FERN437,*166.5424086036300,-58.94124355,2.0965,,,,,,,,,11.097283,,,,6,0
1161,876.57CD-583751,*165.9817657494700,-58.79828278,2.0945,,,,,,10.9,,,10.676302,,,,8,0
1162,877.52HD303820,*166.6439786550500,-58.92011851,0.3778,,,,,,9.742,9.59,9.96,9.638248,,B3,,17,0
1163,878.402MASSJ11071276-5834068,*166.8031892134800,-58.56857875,2.0637,5.57,0.000019,5.57,,,15.093,14.263,13.795,14.071206,13.357,,,5,0
1164,878.972MASSJ11063943-5829576,*166.6643112735700,-58.49937643,2.0983,7.53,0.000025,7.53,,,16.403,15.31,14.665,15.016789,14.091,,,4,0
1165,879.682MASSJ11034913-5845142,*165.9548045288700,-58.75395701,1.0217,16.01,0.000053,16.01,,,14.659,13.969,13.561,13.803246,13.175,,,1,0
1166,880.932MASSJ11052555-5856577,*166.3565075991700,-58.94938108,0.2524,,,,,,,,,15.75969,,,,1,0
1167,883.512MASSJ11072936-5838331,*166.8723146510700,-58.64252636,2.1208,,,,,,,,,14.624854,,,,6,0
1168,883.91Cl*NGC3532FERN340,*166.8083596512500,-58.84471164,1.0387,-21.09,-0.00007,-21.09,,,,,,12.57404,,,,3,0
1169,883.982MASSJ11060415-5856478,*166.5173501059900,-58.94662335,2.0226,5.19,0.000017,5.19,,,20.34,18.846,17.74,17.831394,16.44,,,5,0
1170,884.192MASSJ11035262-5847131,*165.9692891099900,-58.78697229,2.1098,11.01,0.000037,11.01,,,,,,12.17656,,,,5,0
1171,884.54GaiaEDR35340167383032382592,*166.2946819087500,-58.46932821,2.1124,,,,,,,,,16.172073,,,,4,0
1172,885.33Cl*NGC3532AR46,*166.1347856740800,-58.5093835,0.6462,,,,,,,,,13.161217,,,,1,0
1173,885.622MASSJ11071474-5850354,LP?166.8114396911113,-58.84318313,0.1084,,,,,,,,15.929,13.092486,,,,1,0
1174,886.302MASSJ11053214-5857081,*166.3839452683600,-58.95227768,2.0751,6.22,0.000021,6.22,,,14.999,14.164,13.692,13.960292,13.283,,,5,0
1175,886.36[CLH2011b]166728,*166.5409327315800,-58.94432504,0.1523,6.36,0.000021,6.36,,,17.729,16.391,15.62,15.892416,14.864,,,1,0
1176,886.842MASSJ11060272-5856530,*166.5113365560800,-58.9480869,1.8287,4.43,0.000015,4.43,,,14.96,14.111,13.598,13.881208,13.11,,,1,0
1177,887.13Cl*NGC3532FERN518,*166.2543778829900,-58.47520935,0.4254,,,,,,,,,11.871748,,,,3,0
1178,887.262MASSJ11065317-5831055,*166.7216173085200,-58.51820593,2.05,24.95,0.000083,24.95,,,16.083,15.054,14.47,14.76871,13.966,,,1,0
1179,887.532MASSJ11035662-5848396,*165.9859655622900,-58.81098419,0.9906,,,,,,,,,13.374858,,,,1,0
1180,888.62Cl*NGC3532FERN444,*166.8430469882600,-58.81637301,0.6655,5,0.000017,5,,,12.51,11.55,11.35,11.350117,,,,1,0
1181,889.642MASSJ11070231-5832089,*166.7595798316300,-58.5358205,0.4696,-42.17,-0.000141,-42.17,,,14.564,13.896,13.467,13.810576,13.023,,,1,0
1182,890.64Cl*NGC3532AR68,*166.2513561499600,-58.93879408,0.9333,,,,,,,,,12.707391,,,,1,0
1183,890.86Cl*NGC3532FERN335,*166.7331354080900,-58.89203052,0.3451,,,,,,11.91,11.73,11.86,11.766613,,,,1,0
1184,891.122MASSJ11053055-5827360,*166.3773340888900,-58.45998299,2.1172,6.18,0.000021,6.18,,,19.047,17.579,16.606,16.790178,15.626,,,5,0
1185,891.352MASSJ11071108-5851258,*166.7960292213500,-58.85714558,2.0873,,,,,,,,,15.62981,,,,5,0
1186,891.48Cl*NGC3532AR134,*166.5786168316300,-58.47386089,2.0825,3.61,0.000012,3.61,,,,,,11.644213,,,,6,0
1187,891.632MASSJ11034559-5842021,*165.9400187274000,-58.70058183,2.1048,4.32,0.000014,4.32,,,14.745,13.98,13.525,13.811753,13.138,,,5,0
1188,891.652MASSJ11063775-5829350,*166.6573011337900,-58.49306078,1.9218,,,,,,,,,14.878378,,,,1,0
1189,891.872MASSJ11072146-5835335,*166.8394082756600,-58.59263622,2.0583,13.66,0.000046,13.66,,,,,,12.388741,,,,5,0
1190,892.302MASSJ11073451-5842164,*166.8938224580000,-58.70456843,0.2966,13.66,0.000046,13.66,,,17.019,15.812,15.153,15.448017,14.548,,,1,0
1191,892.472MASSJ11040300-5834313,*166.0125473776900,-58.57539568,2.1303,,,,,,,,,18.362196,,,,1,0
1192,892.652MASSJ11072903-5837527,*166.8709943670700,-58.63134688,2.4357,,,,,,,,,19.085884,,,,1,0
1193,893.69[S2000d]NGC353243,X166.8946-58.7097,,,,,,,,,,,,,,,1,0
1194,894.612MASSJ11072363-5848519,*166.8484319443200,-58.81443549,0.6301,45.76,0.000153,45.76,,,15.937,15.011,14.519,14.792347,14.01,,,1,0
1195,895.17Cl*NGC3532FERN327,*166.6525791282200,-58.92325005,1.3142,,,,,,,,,13.287312,,,,1,0
1196,895.262MASSJ11073237-5845341,*166.8848571628000,-58.7595123,2.0685,4.57,0.000015,4.57,,,17.683,16.288,15.421,15.646494,14.591,,,5,0
1197,896.882MASSJ11053628-5857203,*166.4012036158100,-58.95567058,1.0028,,,,,,,,,12.430137,,,,1,0
1198,897.412MASSJ11061058-5827590,*166.5440966713800,-58.46639705,0.3131,,,,,,,,,15.320172,,,,1,0
1199,898.392MASSJ11071383-5833439,*166.80762700-58.,56221000,,-7.04,-0.000023,-7.04,,,20.478,18.951,17.823,,16.453,,,1,0
1200,899.11CPD-583148,*166.8056630056800,-58.85405946,1.6771,,,,,,11.099,10.718,10.5,10.656223,10.274,,,6,0
1201,899.312MASSJ11060695-5827497,*166.5289347972800,-58.4638101,2.0847,6.32,0.000021,6.32,,,18.969,17.467,16.516,16.70505,15.558,,,6,0
1202,900.06IRAS11018-5832,IR165.9798-58.8124,,,,,,,,,,,,,,,0,0
1203,900.582MASSJ11060262-5857072,*166.5109415201300,-58.9520233,0.2889,2.12,0.000007,2.12,,,17.235,15.987,15.297,15.578611,14.644,,,1,0
1204,900.75UCAC4157-059874,*166.8983737553900,-58.70871201,,-7.81,-0.000026,-7.81,,,18.129,16.664,15.732,16.323145,14.78,,,1,0
1205,900.872MASSJ11054586-5857236,*166.4411205519600,-58.95658839,1.5285,76.99,0.000257,77,,,19.64,18.167,17.18,17.295105,16.062,,,1,0
1206,900.95GaiaEDR35340148278972112896,*166.8910738074100,-58.75126246,2.0633,,,,,,,,,13.785515,,,,3,0
1207,901.042MASSJ11070727-5852170,*166.7803324306800,-58.87138585,0.3005,-28.32,-0.000094,-28.32,,,16.111,14.985,14.341,14.560745,13.705,,,1,0
1208,901.09GaiaEDR35338646552299416064,*166.8312934474900,-58.8348861,2.0831,,,,,,,,,15.208486,,,,4,0
1209,901.44HD96173,*166.1484653150400,-58.49887627,2.3821,,,,,,10.45,10.18,,10.347289,,A3,,9,0
1210,901.53HD96729,*166.8958233731800,-58.67978903,0.8736,,,,,,9.934,9.947,9.91,9.948254,9.9,B9,,30,0
1211,901.72UCAC4157-059853,**166.891457400-58,0.7513664,,,,,,,13.858,12.921,12.601,,,,,0,0
1212,901.722MASSJ11060132-5857103,*166.5055036952000,-58.9528889,2.111,4.52,0.000015,4.52,,,15.077,14.233,13.778,14.021729,13.362,,,5,0
1213,902.09GaiaDR25340148279016288768,*166.8916485791763,-58.75139256,,-20.22,-0.000067,-20.22,,,,,,13.0734,,,,0,0
1214,902.67Cl*NGC3532FERN302,*166.2086051369100,-58.93309071,3.459,14.09,0.000047,14.09,,,12.42,11.91,,11.698784,,,,3,0
1215,903.20CPD-574234,*166.3803526268000,-58.45649423,2.0936,-0.09,0,-0.09,,,,,,11.021762,,,,5,0
1216,903.95CPD-583152,*166.8218919992500,-58.84422394,1.992,,,,,,11.139,10.852,10.69,10.819025,10.525,,,5,0
1217,904.062MASSJ11042258-5831118,*166.0942015389700,-58.51995614,2.211,,,,,,,,,19.148312,,,,1,0
1218,904.91NGC353215,*165.9799194998300,-58.59913849,0.5794,,,,,,11.872,11.679,11.561,11.661822,11.426,,,4,0
1219,905.38GaiaEDR35338701149918113152,*166.0243216116600,-58.85463656,2.026,,,,,,,,,17.403011,,,,4,0
1220,906.712MASSJ11035248-5836396,*165.9687264296800,-58.61099898,2.1153,4.03,0.000013,4.03,,,18.405,16.904,15.959,16.180042,14.905,,,5,0
1221,907.60[DDW2012]NGC3532-WDCJ1105-,5857WD?166.3494926386600,-58.95636822,1.6423,,,,,,20.61,20.6,,20.324459,,,,1,0
1222,907.61Cl*NGC3532AR65,*166.2382039740600,-58.94124396,2.0511,6.39,0.000021,6.39,,,,,,11.860192,,,,6,0
1223,909.03GESJ11072859-5847592,*166.8691396900200,-58.79979139,1.8511,,,,,,,,,12.94107,,,,2,0
1224,909.732MASSJ11061015-5857030,*166.5423074682900,-58.95085925,0.4002,,,,,,,,,14.98766,,,,1,0
1225,909.74Cl*NGC3532FERN334,*166.7380115275300,-58.89680488,0.4415,,,,,,11.75,11.58,11.65,11.573168,,,,1,0
1226,910.242MASSJ11061909-5856422,*166.5795754720600,-58.94503484,2.1226,,,,,,,,,14.845678,,,,5,0
1227,911.512MASSJ11054407-5857348,*166.4336530298300,-58.95971127,2.1159,3.83,0.000013,3.83,,,16.661,15.526,14.852,15.169762,14.312,,,5,0
1228,911.672MASSJ11073478-5839294,*166.8948875154950,-58.65824552,2.3368,,,,,,,,,15.4734,,,,1,0
1229,912.01GaiaEDR35338704929488945536,*165.9354553247000,-58.66627488,2.1686,,,,,,,,,17.110468,,,,2,0
1230,912.212MASSJ11034307-5843159,*165.9295195940700,-58.72108715,2.3602,9.59,0.000032,9.59,,,15.85,14.86,14.243,14.482631,13.704,,,1,0
1231,912.78GaiaEDR35338702352508929408,*165.9697392680800,-58.8094088,2.0636,,,,,,,,,17.905979,,,,4,0
1232,913.162MASSJ11073608-5840213,*166.9003473041400,-58.67259181,0.1947,-13.42,-0.000045,-13.42,,,16.509,15.368,14.713,15.07565,14.076,,,1,0
1233,913.17NGC3532204,*166.8725971564900,-58.79835852,1.2375,,,,,,11.567,11.361,11.256,11.347281,11.143,,,3,0
1234,913.382MASSJ11072637-5848508,*166.8598626707200,-58.81410054,2.1728,,,,,,,,,18.484182,,,,1,0
1235,913.642MASSJ11034321-5841042,*165.9300849089600,-58.68451089,2.0981,43.67,0.000146,43.67,,,,,,11.783595,,,,5,0
1236,913.822MASSJ11065092-5854332,*166.7121452164900,-58.90919137,0.2228,-23.34,-0.000078,-23.34,,,16.904,15.771,15.126,15.396672,14.49,,,1,0
1237,914.322MASSJ11062994-5828371,*166.6247418732200,-58.47699879,2.0592,4.32,0.000014,4.32,,,18.664,17.209,16.243,16.545063,15.3,,,5,0
1238,916.68GaiaEDR35338651225224547584,*166.4505226943500,-58.96069738,2.1568,,,,,,,,,17.151121,,,,4,0
1239,918.352MASSJ11052733-5857370,*166.3639139373100,-58.96029929,2.1622,4.11,0.000014,4.11,,,18.755,17.347,16.356,16.530275,15.307,,,1,0
1240,918.96Cl*NGC3532FERN292,*166.0218675307900,-58.85928627,2.0534,5.85,0.00002,5.85,,,,,,11.655521,,,,6,0
1241,919.012MASSJ11072355-5849466,*166.8481267289600,-58.82963619,2.1406,,,,,,,,,14.204236,,,,4,0
1242,919.26[DKM2008]109u,MoC166.7400-58.5147,,,,,,,,,,,,,,,1,0
1243,919.432MASSJ11073790-5841499,*166.9079589437900,-58.69721055,2.0725,,,,,,,,,14.133698,,,,4,0
1244,919.67[DDW2012]NGC3532-WDCJ1107-,5848WD?166.8698202631100,-58.8067594,0.0616,,,,,,20.965,19.857,19.279,19.624611,18.791,,,1,0
1245,920.60Cl*NGC3532FERN432,*166.2533375016000,-58.9480107,2.3442,6.3,0.000021,6.3,,,,,,11.19341,,,,5,0
1246,920.722MASSJ11063611-5828543,*166.6504414089100,-58.4817869,2.1398,7.93,0.000026,7.93,,,18.607,17.181,16.269,16.448473,15.339,,,6,0
1247,921.43Cl*NGC3532FERN294,*166.0619674794900,-58.88482875,2.0028,,,,,,,,,12.473644,,,,6,0
1248,922.322MASSJ11034308-5840024,*165.9295410159100,-58.66733949,2.0797,6.43,0.000021,6.43,,,14.384,13.696,13.291,13.530359,12.916,,,5,0
1249,923.032MASSJ11042486-5854189,*166.1036047046900,-58.90528365,2.0671,,,,,,,,,15.687015,,,,5,0
1250,923.18GaiaEDR35340147729260310528,*166.8729766256000,-58.8053794,2.1267,,,,,,,,,15.385387,,,,3,0
1251,924.472MASSJ11043175-5855013,*166.1323160221900,-58.9170528,2.0655,6.19,0.000021,6.19,,,17.028,15.884,15.185,15.49906,14.56,,,5,0
1252,924.64HD96389,*166.4265901817500,-58.96345917,2.0968,,,,,,10.191,10.082,10.013,10.098539,9.99,A0/1V,,17,0
1253,926.502MASSJ11035059-5848301,*165.9608402293400,-58.80835926,2.0646,,,,,,,,,15.589722,,,,4,0
1254,926.57CPD-574310,*166.8952228202400,-58.64078461,2.0958,,,,,,11.02,10.77,10.646,10.756,10.502,,,10,0
1255,927.73UCAC26064492,*166.1930480278800,-58.93690297,0.192,,,,,,16.57,14.5,13.75,12.153695,,,,0,0
1256,928.39IRAS11051-5817,FIR166.8328-58.5667,,,,,,,,,,,,,,,0,0
1257,928.422MASSJ11034414-5838497,*165.9339640284400,-58.64716891,2.092,5.32,0.000018,5.32,,,14.612,13.887,13.436,13.711989,13.034,,,4,0
1258,928.772MASSJ11034755-5847356,*165.9481880819300,-58.79323405,1.4017,22.68,0.000076,22.68,,,14.218,13.608,13.223,13.476571,12.843,,,1,0
1259,928.88Cl*NGC3532FERN330,*166.6981997966200,-58.91955652,0.3514,-12.87,-0.000043,-12.87,,,,,,11.670033,,,,2,0
1260,929.67Cl*NGC3532AR191,*166.8345230310300,-58.56740952,1.2219,,,,,,,,,14.437447,,,,1,0
1261,930.212MASSJ11063565-5828417,*166.6485492416300,-58.47827041,0.4123,20.68,0.000069,20.68,,,17.224,15.87,15.096,15.371804,14.366,,,1,0
1262,930.30Cl*NGC3532FERN381,*166.7875283165500,-58.53494385,2.1239,6.05,0.00002,6.05,,,14.228,13.543,13.142,13.380472,12.766,,,7,0
